payeeName,count,sum_amount
Upton for All of Us,44,"68,750.00"
National Republican Congressional Committee (NRCC),29,"68,600.00"
Guy for Congress,55,"68,500.00"
Salt River Valley Water Users Association,36,"68,500.00"
Tom O'Halleran for Congress,51,"68,250.00"
Ted Budd for Congress,47,"68,250.00"
Reclaim America PAC,39,"67,050.00"
Elizabeth Pannill Fletcher for Congress,50,"66,164.00"
Katko for Congress,55,"66,050.00"
Mullin for Congress,61,"66,000.00"
Treasure State PAC,20,"66,000.00"
Ron Estes for Congress,44,"65,150.00"
Katherine Clark for Congress,46,"65,136.00"
Don Bacon for Congress,36,"65,000.00"
French Hill for Arkansas,43,"64,800.00"
Wenstrup for Congress,44,"64,700.00"
Hern for Congress,34,"64,500.00"
Susie Lee for Congress,42,"63,720.00"
Cory Gardner For Senate,34,"63,600.00"
Simpson for Congress,48,"63,300.00"
Texans for Henry Cuellar Congressional Campaign,25,"63,300.00"
Colin Allred for Congress,60,"62,900.00"
Smithsonian,2,"62,500.00"
Smucker for Congress,49,"62,250.00"
Devin Nunes Campaign Committee,41,"62,050.00"
Richard E Neal For Congress Committee,25,"62,000.00"
Engel for Congress,49,"61,200.00"
Bera for Congress,49,"61,000.00"
Larson For Congress,38,"61,000.00"
Andy Kim for Congress,33,"60,900.00"
Michael Burgess for Congress,44,"60,600.00"
Doug Jones for Senate,56,"60,544.70"
Vicente Gonzalez for Congress,37,"60,500.00"
Great Lakes PAC,18,"60,500.00"
Citizens for Boyle,37,"60,000.00"
Oorah! PAC,22,"60,000.00"
Congressional Hispanic Leadership Institute Inc,1,"60,000.00"
Crawford for Congress,32,"59,500.00"
Brenda Lawrence for Congress,38,"59,227.00"
DelBene for Congress,49,"59,000.00"
Common Ground PAC,20,"59,000.00"
Marc Veasey Congressional Campaign Committee,41,"58,750.00"
Zeldin for Congress,45,"58,250.00"
Alamo PAC,17,"58,237.50"
Kansans for Marshall,38,"58,071.23"
Butterfield for Congress,37,"58,000.00"
CHC BOLD PAC,14,"58,000.00"
Chrissy Houlahan for Congress,56,"57,850.00"
PAC to the Future,34,"57,250.00"
Lone Star Leadership PAC,32,"57,000.00"
Matsui for Congress,40,"56,900.00"
Portman for Senate Committee,41,"56,500.00"
Friends of Dick Durbin Committee,24,"56,500.00"
Finkenauer for Congress,44,"56,152.05"
Eddie Bernice Johnson for Congress,33,"56,000.00"
Mario Diaz-Balart for Congress,27,"56,000.00"
Harley Rouda for Congress,34,"55,900.00"
Kennedy for Massachusetts,46,"55,845.00"
Friends of Don Beyer,45,"55,750.00"
Karen Bass for Congress,41,"55,750.00"
Mike Bost for Congress Committee,33,"55,750.00"
Charlie Crist for Congress,44,"55,550.00"
Robert Aderholt for Congress,26,"55,500.00"
New Millennium PAC,24,"55,500.00"
America Works PAC,21,"55,500.00"
TINA SMITH FOR MINNESOTA,20,"55,500.00"
Virginia Foxx for Congress,32,"55,250.00"
Hoyer's Majority Fund,22,"55,000.00"
Delgado for Congress,39,"54,984.00"
Debbie for Congress,49,"54,902.05"
Moran for Kansas,27,"54,700.00"
Perlmutter for Congress,29,"54,550.00"
Schatz for Senate,40,"54,521.00"
Tom Rice for Congress,33,"54,500.00"
Pete Aguilar for Congress,37,"54,250.00"
Friends of John Barrasso,36,"54,000.00"
Perimeter PAC,26,"54,000.00"
Innovation PAC,21,"54,000.00"
McConnell Chao Archives,1,"53,906.00"
Anthony Brown for Congress,48,"53,580.00"
John Lewis for Congress,31,"53,500.00"
Ken Calvert for Congress,49,"53,437.60"
Kustoff for Congress,29,"53,100.00"
Sharice for Congress,68,"53,046.37"
David Scott for Congress,27,"53,000.00"
Friends of Sherrod Brown,27,"52,700.00"
McKinley for Congress,33,"52,250.00"
Friends of Rosa DeLauro,34,"51,700.00"
Lou Correa for Congress,45,"51,440.00"
Rosen for Nevada,40,"51,350.00"
National Republican Senatorial Committee (NRSC),11,"51,250.00"
Richard E. Neal for Congress,23,"51,000.00"
Huizenga for Congress,40,"50,750.00"
Rodney Davis for Congress,44,"50,500.00"
Blue Dog PAC,34,"50,416.67"
Clarke for Congress,42,"50,350.00"
McSally for Senate,38,"50,295.00"
George & Barbara Bush Foundation,2,"50,250.00"
Sanford Bishop for Congress,41,"50,172.00"
Dan Crenshaw for Congress,40,"50,150.89"
"Team Graham, Inc.",23,"50,100.00"
Cisneros for Congress,21,"50,050.00"
Asian Pacific American Institute for Congressional Studies (APAICS),1,"50,000.00"
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMI,1,"50,000.00"
City Year Inc,1,"50,000.00"
WORKING AMERICA,1,"50,000.00"
Reagan National Defense Forum,1,"50,000.00"
NATIONAL FOREST FOUNDATION,1,"50,000.00"
Reagan Presidential Foundation and Institute ,1,"50,000.00"
National Association of Latino Elected and Appointed Officials,1,"50,000.00"
OCA - Asian Pacific American Advocates,1,"50,000.00"
National Association or the Advancement of Colored People,1,"50,000.00"
Kuster for Congress,45,"49,850.00"
Texans for Senator John Cornyn,42,"49,628.08"
Doyce Boesch,91,"49,500.00"
Cole for Congress,38,"49,000.00"
Green Mountain PAC,25,"48,750.00"
Texans for Senator John Cornyn Inc.,26,"48,500.00"
Jimmy Gomez for Congress,30,"48,250.00"
First State PAC,24,"48,113.15"
Alma Adams for Congress,29,"48,000.00"
Friends For Gregory Meeks,24,"48,000.00"
Alaskans for Don Young,49,"47,750.00"
Westerman for Congress,33,"47,500.00"
Stand with Sanchez,33,"47,500.00"
Bringing America Together PAC,11,"47,500.00"
Democratic Senatorial Campaign Committee (DSCC),10,"47,500.00"
Kaptur for Congress,29,"47,450.00"
Chris Pappas for Congress,35,"47,400.00"
Dwight Evans for Congress,43,"47,350.00"
Crapo Victory Committee,27,"47,350.00"
Tim Ryan for Congress,21,"47,100.00"
Jaime for Congress,37,"47,000.00"
Garamendi for Congress,37,"46,500.00"
Country Roads PAC,15,"46,500.00"
SCALISE LEADERSHIP FUND,9,"46,500.00"
Hoosier PAC,34,"46,250.00"
Wicker for Senate,26,"46,000.00"
Forward Together PAC,14,"46,000.00"
SHORE PAC,30,"45,800.04"
Becchi for Congress,51,"45,700.00"
Xochitl for New Mexico,63,"45,627.32"
Kinzinger for Congress,38,"45,500.00"
STEVE DAINES FOR MONTANA,19,"45,500.00"
Motor City PAC,14,"45,500.00"
Moore for Congress,35,"45,412.63"
Nadler for Congress,23,"45,369.00"
Next Century Fund,23,"45,333.34"
Gallego for Arizona,30,"45,250.00"
Durbin Victory Fund,29,"45,200.00"
Brian Higgins For Congress,25,"45,000.00"
PALLONE FOR CONGRESS,21,"45,000.00"
Joni For Iowa,17,"45,000.00"
George W. Bush Presidential Center,3,"45,000.00"
DSCC - Building Fund,1,"45,000.00"
DNC - Building Fund,1,"45,000.00"
DCCC Building Fund,1,"45,000.00"
CHCI,1,"45,000.00"
DNC CONVENTION FUND,1,"45,000.00"
DNC-LEGAL FUND,1,"45,000.00"
DSCC - BUILDING FUND,1,"45,000.00"
"Congressional Hispanic Caucus Institute, Inc",1,"44,971.00"
Team McHenry,32,"44,600.00"
Spanberger for Congress,55,"44,544.00"
GRAVES FOR CONGRESS,24,"44,500.00"
Friends of Lucy McBath,34,"44,404.05"
Van Drew for Congress,35,"44,150.00"
Sara Gideon for Maine,18,"44,075.00"
Kind for Congress,35,"44,000.00"
Pete Stauber for Congress,27,"44,000.00"
Jamie Raskin for Congress,35,"43,750.00"
Equality PAC,21,"43,750.00"
Dan Newhouse for Congress,27,"43,500.00"
Promoting Our Republican Team PAC,14,"43,500.00"
Getting Stuff Done PAC,12,"43,500.00"
George Holding for Congress,29,"43,300.00"
Ameripac: The Fund for A Greater America,11,"43,250.00"
The Hawkeye PAC,13,"43,000.00"
Wild and Wonderful PAC,16,"42,875.00"
Balderson for Congress,29,"42,800.00"
Friends of Jahana Hayes,24,"42,696.00"
Van Taylor Campaign,42,"42,670.00"
Denny Heck for Congress,30,"42,500.00"
Prairie PAC,10,"42,500.00"
Dr. John Joyce for Congress,31,"42,000.00"
Larson for Congress,30,"42,000.00"
Citizens to Elect Rick Larsen,25,"42,000.00"
Roger Williams for US Congress Committee,23,"42,000.00"
STEPHANIE MURPHY FOR CONGRESS,18,"42,000.00"
Bishop for Congress,39,"41,950.00"
Brindisi for Congress,48,"41,850.00"
The Bill Keating Committee,29,"41,750.00"
MARSHA PAC,16,"41,700.00"
The Ripon Society,2,"41,650.00"
Lisa Murkowski for US Senate,29,"41,500.00"
Himes for Congress,27,"41,250.00"
Believe in America PAC,20,"41,250.00"
Steve Chabot for Congress,37,"41,050.00"
Walberg for Congress,45,"41,000.00"
Courtney for Congress,20,"41,000.00"
Free State PAC,11,"41,000.00"
Doyle for Congress Committee,33,"40,750.00"
Mike Crapo for US Senate,22,"40,600.00"
Dirigo PAC,13,"40,375.00"
Susan Wild for Congress,37,"40,370.00"
Bucshon for Congress,31,"40,350.00"
Sean Patrick Maloney for Congress,28,"40,250.00"
Vicky Hartzler for Congress,27,"40,250.00"
Donna Shalala for Congress,30,"40,242.93"
Collins for Senate,24,"40,200.00"
Cartwright for Congress,32,"40,100.00"
Responsibility And Freedom Work PAC (RFWPAC),10,"40,000.00"
Blue Hen PAC,8,"40,000.00"
Sherman for Congress,26,"39,900.00"
Jeff Merkley for Oregon,21,"39,750.00"
Stand With Sanchez,20,"39,500.00"
Darren Soto for Congress,41,"39,250.00"
Barragan for Congress,27,"39,250.00"
PETERS FOR MICHIGAN,22,"39,000.00"
RICHARD E NEAL FOR CONGRESS COMMITTEE,17,"39,000.00"
Kendra Horn for Congress,61,"38,936.77"
Moolenaar for Congress,31,"38,850.00"
Eye of the Tiger PAC,11,"38,700.00"
Mike Gallagher for Wisconsin,32,"38,650.00"
Dr. Raul Ruiz for Congress,24,"38,650.00"
Mikie Sherrill for Congress,47,"38,519.00"
Richard E. Neal for Congress Committee,23,"38,500.00"
CHC Bold PAC,11,"38,500.00"
Families for James Lankford,28,"38,368.00"
Joe Wilson for Congress,38,"38,152.18"
Republican National Committee,12,"38,050.00"
Stabenow for US Senate,25,"38,000.00"
Schiff for Congress,22,"38,000.00"
DOUG JONES FOR SENATE COMMITTEE,19,"38,000.00"
THOM TILLIS COMMITTEE,19,"37,800.00"
Sires for Congress,20,"37,750.00"
"Texans for Senator John Cornyn, Inc.",17,"37,750.00"
Cindy Hyde-Smith for US Senate,25,"37,500.00"
Welch for Congress,25,"37,500.00"
ELISE FOR CONGRESS,21,"37,500.00"
Blue Dog Political Action Committee,9,"37,500.00"
Cindy Axne for Congress,44,"37,492.00"
Hoyer Majority Fund,18,"37,200.00"
Various Vendors,2,"37,166.00"
CORY GARDNER FOR SENATE,19,"37,000.00"
United States Capitol Historical Society,4,"37,000.00"
Steve Daines For Montana,18,"36,950.00"
Julia Brownley for Congress,33,"36,800.00"
Cotton for Senate,21,"36,777.00"
Trey for Congress,33,"36,750.00"
Gina Ortiz Jones for Congress,35,"36,000.00"
Yarmuth for Congress,21,"36,000.00"
DEBBIE DINGELL FOR CONGRESS,15,"36,000.00"
Citizens To Elect Rick Larsen,15,"36,000.00"
SAC PAC,13,"36,000.00"
Innovation Political Action Committee,11,"36,000.00"
MCCONNELL SENATE COMMITTEE,13,"35,797.84"
Al Lawson for Congress,22,"35,500.00"
Montanans for Tester,21,"35,500.00"
Cooper for Congress,18,"35,500.00"
EMMER FOR CONGRESS,14,"35,500.00"
LAHOOD FOR CONGRESS,19,"35,479.00"
Sylvia Garcia for Congress,28,"35,300.00"
Wyden for Senate,24,"35,250.00"
Schakowsky for Congress,28,"35,225.00"
MCSALLY FOR SENATE INC,22,"35,000.00"
FRIENDS OF CHERI BUSTOS,14,"35,000.00"
Kevin McCarthy For Congress,10,"35,000.00"
JOBS EDUCATION and FAMILIES FIRST  JEFF PAC,7,"35,000.00"
Project West Political Action Committee,7,"35,000.00"
Jackie Gordon for Congress,7,"35,000.00"
Congressional Award Foundation,3,"35,000.00"
CBCF,1,"35,000.00"
Internet Education Foundation,1,"35,000.00"
Bonamici for Congress,24,"34,850.00"
Shaheen For Senate,20,"34,800.00"
Bergman for Congress,33,"34,750.00"
Brian Higgins for Congress,23,"34,550.00"
Ron Estes For Congress,23,"34,500.00"
OORAH POLITICAL ACTION COMMITTEE,12,"34,500.00"
LETS GET TO WORK PAC,9,"34,500.00"
Connolly for Congress,23,"34,469.15"
Friends of David Schweikert,28,"34,000.00"
Friends for Gregory Meeks,25,"34,000.00"
Meadows for Congress,24,"34,000.00"
Manchin for West Virginia,22,"34,000.00"
Marc Veasey Congressional Campaign Cmte,17,"34,000.00"
Rely on Your Beliefs Fund,8,"34,000.00"
Future Forum PAC,26,"33,950.00"
Salud Carbajal for Congress,21,"33,900.00"
Washington Hilton,1,"33,889.78"
Dutch Ruppersberger for Congress,22,"33,500.00"
LOBO PAC,21,"33,500.00"
Richard E Neal for Congress,14,"33,500.00"
Walden Victory Fund,11,"33,500.00"
Rosen Victory Fund,8,"33,500.00"
Filemon Vela for Congress,21,"33,300.00"
Napolitano for Congress,28,"33,250.00"
Alan Lowenthal for Congress,28,"33,000.00"
Morgan Griffith for Congress,27,"33,000.00"
LISA BLUNT ROCHESTER FOR CONGRESS,13,"33,000.00"
Project West PAC,11,"33,000.00"
Thunderbolt PAC,9,"32,875.00"
Mike Levin for Congress,38,"32,801.00"
Hal Rogers for Congress,25,"32,500.00"
HUDSON FOR CONGRESS,17,"32,500.00"
SCHNEIDER FOR CONGRESS,17,"32,500.00"
Progressive Americans for Democracy,10,"32,500.00"
Lance Gooden for Congress Committee,24,"32,490.00"
Boozman for Arkansas,25,"32,150.00"
Narragansett Bay PAC,14,"32,010.00"
Huffman for Congress,27,"32,000.00"
Steve Cohen for Congress,18,"32,000.00"
M-PAC,10,"32,000.00"
Ultra Electronics USA PAC,10,"32,000.00"
Buchanan for Congress,9,"32,000.00"
First in Freedom PAC,17,"31,950.00"
Ted Lieu for Congress,27,"31,800.00"
Republican Party of Kentucky,13,"31,750.00"
Kind For Congress Committee,26,"31,500.00"
Jim Costa For Congress,17,"31,500.00"
Perdue Victory Inc.,15,"31,500.00"
All For Our Country Leadership PAC,8,"31,500.00"
Jim Jordan for Congress,23,"31,400.00"
Martin Heinrich for Senate,25,"31,336.00"
Friends of Denver Riggleman,35,"31,100.00"
Davidson for Congress,26,"31,000.00"
Andre Carson for Congress,16,"31,000.00"
BILL CASSIDY FOR US SENATE,13,"31,000.00"
People's Voice PAC,9,"31,000.00"
FREE STATE PAC,7,"31,000.00"
Veronica Escobar for Congress,30,"30,750.00"
Loudermilk for Congress,20,"30,750.00"
Gary Palmer for Congress,19,"30,750.00"
Neal for Congress,16,"30,750.00"
True North PAC,11,"30,750.00"
Norma Torres for Congress,31,"30,500.00"
Castor for Congress,20,"30,500.00"
TED BUDD FOR CONGRESS,20,"30,500.00"
Graves For Congress,19,"30,500.00"
Johnson For Congress,17,"30,500.00"
FRIENDS OF DAN KILDEE,16,"30,500.00"
NANCY PELOSI FOR CONGRESS,7,"30,500.00"
Andy Levin for Congress,23,"30,400.00"
Team Rick Scott,23,"30,350.00"
Andy Barr for Congress,32,"30,328.74"
Barbara Lee for Congress,18,"30,150.00"
Bilirakis for Congress,27,"30,000.00"
Stanton for Congress,20,"30,000.00"
Latta For Congress,20,"30,000.00"
Collins For Senator,13,"30,000.00"
Blue Majority PAC,6,"30,000.00"
LBJ Foundation,3,"30,000.00"
Congressional Football Game for Charity,2,"30,000.00"
DNC - BUILDING FUND,1,"30,000.00"
Congressional Black Caucus Political Education and Leadership Institute ,1,"30,000.00"
Congressional Hispanic Leadership Institute Inc.,1,"30,000.00"
Gay and Lesbian Victory Institute,1,"30,000.00"
Gay & Lesbian Victory Institute,1,"30,000.00"
APAICS Leadership Network Inc.,1,"30,000.00"
"Convene conference center, API Source, Inc.",1,"29,763.36"
Clay Jr. for Congress,29,"29,750.00"
Team Graham,29,"29,650.00"
Palazzo for Congress,31,"29,500.00"
Titus for Congress,17,"29,500.00"
STEIL FOR WISCONSIN INC,16,"29,500.00"
Healthcare Freedom Fund,13,"29,500.00"
Responsibility and Freedom Work PAC,11,"29,500.00"
PORT PAC,10,"29,500.00"
Monday Meeting PAC,4,"29,500.00"
Van Hollen for Senate,21,"29,400.00"
Ernst Victory Iowa,4,"29,400.00"
Rob Wittman for Congress,25,"29,300.00"
Reed Committee,19,"29,300.00"
Elaine for Congress,25,"29,032.00"
Nick Colvin for Congress,26,"29,000.00"
McEachin for Congress,21,"29,000.00"
Friends Of Jim Clyburn,14,"29,000.00"
Dakota PAC,13,"29,000.00"
Big Sky Opportunity PAC,12,"29,000.00"
Lofgren for Congress,20,"28,850.00"
Gibbs for Congress,19,"28,800.00"
Debbie Wasserman Schultz for Congress,25,"28,750.00"
Meuser for Congress,18,"28,750.00"
JEFFRIES FOR CONGRESS,13,"28,697.83"
McCaul for Congress,31,"28,500.00"
ARA PAC,23,"28,500.00"
Greg Pence for Congress,17,"28,500.00"
Huffman For Congress,17,"28,500.00"
FRIENDS OF BEN MCADAMS,15,"28,500.00"
Citizens for Prosperity in America Today PAC,11,"28,500.00"
Jersey Values PAC,10,"28,500.00"
KUSTER FOR CONGRESS INC,14,"28,473.00"
Jason Crow for Congress,18,"28,450.00"
Joe Neguse for Congress,26,"28,300.00"
Jeff Duncan for Congress,22,"28,250.00"
Valadao for Congress,26,"28,150.00"
Mike Rogers for Congress,30,"28,000.00"
Visclosky for Congress,22,"28,000.00"
Johnson for Congress,18,"28,000.00"
WESTERMAN FOR CONGRESS,11,"28,000.00"
Developing a New Generation PAC,7,"28,000.00"
Judy Chu for Congress,21,"27,975.00"
Higgins for Congress,16,"27,800.00"
Tammy Baldwin for Senate,19,"27,500.00"
Carper For Senate,17,"27,500.00"
Denver Riggleman for Congress,16,"27,500.00"
Walden For Congress,13,"27,500.00"
HOYER FOR CONGRESS,11,"27,500.00"
One Georgia PAC,8,"27,500.00"
Friends of Sessions Senate Committee Inc,7,"27,500.00"
Wolverine PAC,7,"27,500.00"
BRIDGE PAC,7,"27,500.00"
Asian Pacific American Institute For Congressional Studies Inc,2,"27,500.00"
Shore PAC,17,"27,375.00"
Michael Blake for Congress,22,"27,281.80"
Theresa Greenfield for Iowa,22,"27,050.00"
Scott Fitzgerald for Congress,16,"27,030.50"
Volunteers for Shimkus,17,"27,000.00"
Cornyn Majority Texas,14,"27,000.00"
BUDDY CARTER FOR CONGRESS,13,"27,000.00"
Maggie for NH,13,"27,000.00"
Vargas for Congress,11,"27,000.00"
CAPITO FOR WEST VIRGINIA,10,"27,000.00"
House Conservatives Fund,9,"27,000.00"
Across the Aisle PAC,9,"27,000.00"
Richard Hudson for Congress,26,"26,900.00"
People for Ben,25,"26,850.00"
Wexton for Congress,28,"26,612.50"
McNerney for Congress,16,"26,500.00"
RON ESTES FOR CONGRESS,8,"26,500.00"
PAC Unitatis,7,"26,500.00"
Jeff Miller for Congress,21,"26,300.00"
Jim Risch for U.S. Senate,13,"26,300.00"
William Timmons for Congress,29,"26,250.00"
Friends of Dusty Johnson,23,"26,250.00"
Mast for Congress,17,"26,250.00"
RODNEY FOR CONGRESS,13,"26,250.00"
Dr. Brian Babin for Congress,22,"26,000.00"
Andy Harris for Congress,18,"26,000.00"
Chris Coons For Delaware,15,"26,000.00"
Team Graham Inc.,14,"26,000.00"
Mario Diaz-Balart For Congress,14,"26,000.00"
VICENTE GONZALEZ FOR CONGRESS,13,"26,000.00"
GUY FOR CONGRESS,12,"26,000.00"
BEN SASSE FOR US SENATE INC,9,"26,000.00"
