name,count,sum_amount
Booz Allen Hamilton Inc. PAC,6,"111,500.00"
Berkshire Hathaway Energy PAC,38,"108,500.00"
KING & SPALDING NONPARTISAN COMMITTEE FOR GOOD GOVERNMENT,59,"107,500.00"
ARDA-ROC PAC,42,"105,500.00"
EchoStar Corp. and DISH Network Corp. PAC,39,"105,000.00"
Weyerhaeuser Company Political Action Committee,58,"104,500.00"
"Allergan, Inc. Political Action Committee",27,"104,240.00"
Office of the Commissioner of Major League Baseball PAC,42,"104,000.00"
Halliburton Company PAC,38,"103,020.00"
Transamerica Corporation PAC,55,"102,500.00"
National Shooting Sports Foundation PAC,43,"101,106.87"
AVMA PAC,64,"101,000.00"
Bristol-Myers Squibb Co. Employee Political Advocacy Fund for Innovation,65,"100,000.00"
SENIOR CARE PHARMACY COALITION PAC,21,"100,000.00"
Walmart Inc. PAC For Responsible Government,2,"100,000.00"
Lilly PAC,2,"100,000.00"
Raytheon PAC,1,"100,000.00"
CBC PAC,27,"98,000.00"
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION (AFTCOPE)",4,"97,500.00"
National Pork Producers Council Pork PAC ''PorkPAC'',51,"97,000.00"
CMS Energy Employees For Better Government,37,"97,000.00"
Congressional Black Caucus PAC (CBC PAC),30,"97,000.00"
"Planned Parenthood Action Fund, Inc.",75,"96,626.34"
Fraternity & Sorority PAC,60,"96,500.00"
ESCA PAC,51,"96,500.00"
Animal Wellness Action PAC,80,"95,000.00"
General Motors Company PAC ,27,"94,999.00"
Cozen O'Connor Political Action Committee,58,"94,593.71"
Whirlpool Corp. Political Action Committee,33,"94,500.00"
"Horizon Therapeutics USA, Inc. Political Action Committee",22,"94,000.00"
Thompson Coburn PAC,73,"93,900.00"
FSPAC,59,"92,500.00"
National Marine Manufacturers Association and Marine Retailers Association Boat Political Action Com,59,"91,500.00"
SIERRA NEVADA CORPORATION PAC,57,"91,500.00"
Viacom PAC,51,"91,500.00"
Fraternity and Sorority Political Action Committee (FSPAC),62,"91,175.00"
"EVERYTOWN FOR GUN SAFETY ACTION FUND, INC. PAC",64,"91,000.00"
EDWARDS LIFESCIENCES POLITICAL ACTION COMMITTEE aka EDWARDS PAC,60,"91,000.00"
DTE Energy PAC,31,"91,000.00"
National Rifle Association Political Victory Fund ,59,"90,800.00"
Fraternity and Sorority Political Action Committee,63,"90,250.00"
"Amazon.com Services, Inc. Separate Segregated Fund (Amazon PAC)",3,"90,000.00"
Microsoft Corporation Political Action Committee,3,"90,000.00"
American College of Rheumatology RheumPAC,23,"89,000.00"
American Beverage Association Political Action Committee,52,"88,000.00"
American Cable Association Political Action Committee,42,"88,000.00"
RetailPAC,34,"88,000.00"
Anadarko Petroleum Corporation Political Action Committee,21,"88,000.00"
Dow Inc PAC,63,"87,500.00"
AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION PAC (ASHA PAC),47,"87,000.00"
Cubic Corporation Employees Political Action Committee,30,"86,500.00"
Marriott International PAC,35,"85,000.00"
GLAXOSMITHKLINE LLC PAC (GSK PAC) C00199703,35,"84,500.00"
Medtronic Inc. PAC,58,"83,500.00"
Valero Energy Corporation Political Action Committee,7,"83,500.00"
Hardwood Federation Political Action Committee (HFPAC),67,"83,000.00"
TEPAC,60,"82,500.00"
Equipment Leasing and Finance Assn PAC (LeasePAC),22,"82,500.00"
Arent Fox LLP PAC (AFPac),96,"81,600.00"
American Academy of Physician Assistants PAC,46,"81,600.00"
Maynard Cooper & Gale PC PAC,65,"81,000.00"
Marine Engineers' Beneficial Association PAF (MEBA PAF),44,"80,562.00"
Squire Patton Boggs Political Action Committee,51,"80,000.00"
Zeneca Inc Political Action Committee AZPAC,49,"80,000.00"
Alston & Bird PAC,44,"80,000.00"
Adams and Reese PAC ,38,"80,000.00"
Greenberg Traurig PA PAC,39,"79,525.00"
WALGREEN CO PAC WalgreensPAC,41,"79,500.00"
Pharmaceutical Care Management Association PAC,86,"78,500.00"
Astellas US LLC PAC (Astellas PAC),47,"78,500.00"
Continental Automotive PAC,46,"77,000.00"
Maverick PAC USA,38,"76,200.00"
Laborers International Union of North America (LIUNA PAC),5,"76,000.00"
American Nurses Association,46,"75,250.00"
Polsinelli PC PAC,50,"75,000.00"
The Guardian Life Insurance Company of America Political Action Committee  Federal Guardian Life P,48,"75,000.00"
NRCC,69,"74,800.00"
"Ameriprise Financial, Inc. Political Action Committee",57,"74,500.00"
Texas Instruments Incorporated Political Action Committee,31,"74,000.00"
NetJets Association of Shared Aircraft Pilots PAC,46,"72,500.00"
"American Occupational Therapy Association, Inc. PAC",57,"72,275.00"
Principal Life Insurance Company Political Action Committee,53,"72,000.00"
EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),5,"71,992.26"
CBS Corporation PAC,48,"71,500.00"
S&P Global Inc. Political Action Committee,25,"71,500.00"
InterDigital PAC,25,"71,350.00"
"Anthem, Inc. Political Action Committee (Anthem PAC)",7,"71,250.00"
Small Business Investor Alliance PAC,52,"71,000.00"
Navient Corporation PAC (Navient PAC),47,"71,000.00"
Consumer Bankers Association PAC,34,"71,000.00"
American Fuel & Petrochemical Manufacturers Association PAC,32,"71,000.00"
FaegreBD PAC,34,"70,500.00"
General Electric Company Political Action Committee (GEPAC),3,"70,000.00"
DisneyPAC,27,"69,750.00"
National Association of Postal Supervisors,58,"69,700.00"
Diageo North America Inc. Employees' Political Participation Committee,15,"69,401.27"
"BEST BUY CO., INC. EMPLOYEE POLITICAL FORUM",47,"69,000.00"
"eBay, Inc. - Committee for Responsible Internet Commerce",40,"69,000.00"
Emerson PAC,27,"69,000.00"
Salt River Valley Water Users Association,36,"68,500.00"
MODERATE DEMOCRATS PAC,34,"68,500.00"
Baker & Hostetler PAC,32,"68,500.00"
Alaska Air Group Political PAC,45,"67,800.00"
HCA Good Government Fund,25,"67,600.00"
Leonardo DRS PAC,42,"67,500.00"
AIG Employee Political Action Committee,24,"67,500.00"
"Invesco Holding Company (US), Inc. Political Action Committe",43,"67,400.00"
Southwest Airlines Co. Freedom Fund,20,"67,100.00"
Ob-GynPAC,40,"66,500.00"
The AES Corporation Political Action Committee,66,"66,000.00"
Cardinal Health Inc. PAC,20,"66,000.00"
Johnson & Johnson Political Action Committee,3,"65,825.00"
American Gas Association Political Action Committee,38,"65,500.00"
"Gilead Sciences, Inc. Healthcare Policy PAC",35,"65,500.00"
General Motors Company Political Action Committee (GM PAC),7,"65,500.00"
Synchrony Financial Employees Political Action Committee,36,"64,500.00"
DGA PAC,31,"64,500.00"
NAFCU/PAC,48,"64,000.00"
"Regeneron Pharmaceuticals Inc., PAC",28,"64,000.00"
Protective Life Corporation Federal PAC,25,"64,000.00"
EastmanPAC-Political Action Committee of Eastman Chemical Company,21,"63,000.00"
Gulf States Toyota Inc. Federal PAC,28,"63,000.00"
Nat'l Postal Mail Handlers Union PAC aff. with LIUNA PAC,37,"62,500.00"
"National Business Aviation Association, Inc.",24,"62,500.00"
"National Business Aviation Association, Inc. PAC",24,"62,500.00"
SolarPAC,22,"62,500.00"
Transportation Intermediaries Association PAC,19,"62,500.00"
BSA PAC,27,"62,220.00"
American Waterways Operators PAC,30,"62,000.00"
American Chiropractic Association PAC,28,"62,000.00"
HCA Healthcare Inc. Good Government Fund,24,"62,000.00"
American Society for Radiation Oncology PAC,36,"61,500.00"
TRINITY INDUSTRIES EMPLOYEE POLITICAL ACTION COMMITTEE SF INC,33,"61,500.00"
Wind Political Action Committee (WindPAC),40,"61,450.45"
Occidental Petroleum Corporation Political Action Committee,31,"61,300.00"
Duane Morris Government Committee,52,"60,696.40"
"The Travelers Companies, Inc. Political Action Committee (T-PAC)",27,"60,500.00"
Cboe Global Markets Inc PAC Cboe PAC,25,"60,500.00"
CAMBIA HEALTH SOLUTIONS INC. PAC,20,"60,000.00"
Argentum Silver PAC,19,"59,000.00"
"Mylan Inc. Political Action Committee (MyPAC), C00332395",29,"58,500.00"
Archer Daniels Midland - ADM PAC,24,"58,500.00"
MALLINCKRODT LLC POLITICAL ACTION COMMITTEE,16,"58,500.00"
American Staffing Association StaffingPAC,6,"58,500.00"
National Committee to Preserve Social Security and Medicare ,56,"57,500.00"
Ameren Federal Political Action Committee AmerenFED PAC,41,"57,500.00"
SEMA PAC,37,"57,500.00"
National Ready Mixed Concrete Assn PAC CONCRETEPAC,30,"57,500.00"
American Pharmacists Association PAC,37,"57,000.00"
IPAA Wildcatters Fund PAC,37,"57,000.00"
PPL People for Good Government,37,"57,000.00"
Sun Life PAC,29,"57,000.00"
Dentons US LLP PAC,25,"57,000.00"
MDMA PAC,25,"57,000.00"
Boehringer Ingelheim USA Corporation Political Action Committee,17,"57,000.00"
Susan B. Anthony List Candidate Fund,27,"56,621.58"
Caesars Entertainment Corporation Political Action Committee,27,"56,500.00"
WATERPAC  NATIONAL RURAL WATER ASSOCIATION POLITICAL COMMITTEE,13,"56,000.00"
The Kraft Heinz Company Political Action Committee ,30,"55,500.00"
American Clinical Laboratory Association PAC (LabPAC),30,"55,416.94"
Rolls-Royce North America Holdings Inc. PAC (Rolls-Royce North America PAC),4,"54,500.00"
The Clark Hill Federal Political Action Committee,44,"54,100.00"
"Teva Pharmaceuticals USA, Inc. Political Action Committee",14,"54,100.00"
Swisher International Inc. PAC Fund,23,"54,000.00"
National Fuel Gas Company Federal Political Action Committee,57,"53,900.00"
"Nasdaq, Inc.",32,"53,500.00"
HDA PAC,23,"53,500.00"
National Corn Growers Association PAC (CornPAC) ,31,"53,000.00"
BRACEPAC,48,"52,350.00"
BD PAC,41,"52,000.00"
"HSBC North America Federal, State and Local Political Action Committee (HSBC Combined PAC)",35,"52,000.00"
Calpine Corporation PAC,17,"52,000.00"
LABORATORY CORPORATION OF AMERICA HOLDINGS POLITICAL PARTICI,21,"51,500.00"
WSIA PAC,19,"51,500.00"
J Street PAC,49,"51,000.00"
International Dairy Foods Association (IDFA) PAC,34,"51,000.00"
Encompass Health PAC,19,"51,000.00"
Premier Employee's Civil Action Fund,18,"51,000.00"
"Williams & Jensen, PLLC Political Action Committee",77,"50,089.52"
ACPAC ACA International Political Action Committee,15,"50,000.00"
PG&E Corporation Employees EnergyPAC,3,"50,000.00"
Lincoln Financial Group PAC,28,"49,500.00"
Novartis Corporation Political Action Committee,44,"49,000.00"
Schwan's Company Political Action Committee,35,"49,000.00"
"Zurich Holding Company Of America, Inc. Committee For Good Government (Z-PAC, Zurich PAC)",30,"49,000.00"
Trump Victory,18,"48,600.00"
State Street Bank and Trust Company Voluntary PAC,35,"48,500.00"
Windstream Corporation PAC,23,"48,500.00"
International Foodservice Distributors Association PAC,14,"48,500.00"
"FMC Corporation Good Government Program, C00033704",33,"48,000.00"
American Soybean Association PAC (SOYPAC),39,"47,500.00"
AMERICAN SPORTFISHING ASSOCIATION POLITICAL ACTION COMMITTEE,37,"47,500.00"
Bank Policy Institute PAC,28,"47,500.00"
Cerner Corporation PAC,18,"47,500.00"
National Chicken Council PAC ,17,"47,500.00"
Republican Jewish Coalition PAC,8,"47,500.00"
AFL-CIO COPE PCC,6,"47,500.00"
The Boeing Company Political Action Committee,3,"47,500.00"
America's Essential Hospitals Political Action Committee,41,"47,000.00"
Stanley Black and Decker Inc Political Action Committee,30,"47,000.00"
U.S. Cellular Political Action Committee,21,"47,000.00"
INTERCONTINENTAL EXCHANGE INC PAC,19,"47,000.00"
Senate Moderate Democrats PAC,18,"46,700.00"
Nelson Mullins Riley & Scarborough Federal Political Cmte,44,"46,000.00"
Trans Union PAC,32,"46,000.00"
Financial Services Institute PAC ,16,"46,000.00"
"JetBlue Airways Corp. Crewmember Good Govt Fund, an SSF",29,"45,500.00"
BMO Financial Corp Good Governance Fund: Federal (BMO PAC),30,"45,460.28"
VEN-PAC,42,"45,000.00"
Cray Inc. Employee Political Action Committee,37,"45,000.00"
Triumph Group Employees Political Action Committee,22,"45,000.00"
ITC HOLDINGS CORP. PAC (ITC PAC),29,"44,608.50"
Husch Blackwell Political Action Committee,31,"44,500.00"
"TRANSCANADA USA SERVICES, INC. PAC",29,"44,500.00"
Vistra Energy Leaders Political Action Committee of Vistra Energy,37,"44,000.00"
150PAC.org,36,"44,000.00"
CHS Inc. Political Action Committee,28,"44,000.00"
ARTBA-PAC,27,"44,000.00"
CEMEX Inc. Employees PAC,23,"44,000.00"
USA Rice Federation PAC,19,"44,000.00"
"Lehigh Hanson, Inc. PAC",18,"44,000.00"
BURGER KING Franchisee PAC,26,"43,500.00"
Blue Cross Blue Shield of Michigan PAC (BluesPAC),14,"43,500.00"
Genesee & Wyoming Inc. PAC,24,"43,400.00"
Jones Walker LLP PAC,33,"43,050.00"
The Glover Park PAC,36,"43,000.00"
Fifth Third Bancorp Political Action Committee,27,"43,000.00"
Holly Frontier Corporation PAC,16,"43,000.00"
NCFC CO-OP/PAC,13,"43,000.00"
"Sysco Corporation Good Government Committee, Inc.",23,"42,500.00"
Public Service Enterprise Group Inc Political Action Committee PEGPAC,20,"42,500.00"
NAIOP-PAC,13,"42,500.00"
CTIA- The Wireless Association Political Action Committee,7,"42,500.00"
Airbus PAC,26,"42,000.00"
Covanta Energy LLC Political Action Committee,26,"42,000.00"
American Composites Manufacturers Association PAC,21,"42,000.00"
International Union of Painters And Allied Trades Political Action Together Political Committee,12,"41,580.00"
The Freedom Project,20,"41,300.00"
"Alkermes, Inc. Political Action Committee",29,"41,000.00"
Genworth Financial Inc Political Action Committee,22,"41,000.00"
Electronic Transactions Association PAC,20,"41,000.00"
"Sony Pictures Entertainment, Inc. PAC",14,"41,000.00"
Tellurian Inc. PAC,21,"40,900.00"
Association for Accessible Medicines PAC,19,"40,300.00"
Winning Strategies Washington PAC,17,"40,298.93"
Florida Sugar Cane League PAC,38,"40,000.00"
Sidley Austin Good Government Fund,9,"40,000.00"
Cummins Inc. Political Action Committee,41,"39,500.00"
"Contura Energy, Inc. Political Action Committee",14,"39,500.00"
CNH Industrial Excellence in Government Fund,12,"39,500.00"
ILA-COPE,10,"39,300.00"
AGSH&F Civic Action Committee,8,"39,258.00"
Universal Music Group Employee Action Fund,32,"39,015.62"
Options Clearing Corporation PAC,25,"39,000.00"
LKQ PAC,18,"39,000.00"
Van Scoyoc Associates PAC (VSAPAC),22,"38,897.22"
SPRINT CORPORATION POLITICAL ACTION COMMITTEE,37,"38,500.00"
United FreshPAC,14,"38,500.00"
GMA PAC,24,"38,250.00"
Dykema Gossett Federal PAC,33,"38,000.00"
Brunswick Good Government Fund,30,"38,000.00"
Appraisal Institute PAC (AI PAC),23,"38,000.00"
DLA Piper PAC,27,"37,900.00"
Nossaman LLP Political Action Committee,36,"37,500.00"
TTD PAC,35,"37,500.00"
"Smith & Nephew, Inc. PAC",28,"37,000.00"
With Honor,23,"37,000.00"
Association of Equipment Distributors PAC; C00010124,24,"36,500.00"
Eversource Energy Political Action Committee (EversourcePAC),23,"36,500.00"
Herbalife International Inc. PAC,22,"36,500.00"
ELECT-The Political Action Committee of the Alabama Farmers ,9,"36,500.00"
Environmental Defense Action Fund PAC,33,"36,000.00"
United States Steel Corporation,27,"36,000.00"
STSPAC,26,"36,000.00"
Mechanical Contractors Association of America PAC,16,"36,000.00"
Humane Society Legislative Fund PAC,27,"35,500.00"
Owner-Operator Independent Drivers Association PAC,20,"35,500.00"
HDR PAC,18,"35,250.00"
NAM-PAC,26,"35,000.00"
Chevron Employees Political Action Committee - Chevron Corporation,2,"34,985.83"
American Association of Neurological Surgeons PAC,19,"34,750.00"
American Family Mutual Insurance Company SI Federal PAC AMFAM PAC,33,"34,500.00"
TYPAC,20,"34,500.00"
IEC PRIDE PAC,32,"34,000.00"
NASCOE PAC,27,"34,000.00"
Lundbeck LLC Employee Political Action Committee,25,"33,500.00"
Polaris Industries Political Participation Program,21,"33,500.00"
COALPAC,14,"33,300.00"
Texans for Lamar Smith,27,"33,100.00"
Equifax Political Action Committee,34,"33,000.00"
SnackPAC,22,"33,000.00"
Florida East Coast Industries LLC Good Government Committee,13,"33,000.00"
"Global Payments, Inc. PAC (Global Payments PAC)",13,"32,500.00"
Retail Leaders PAC,20,"32,052.50"
Akerman LLP PAC,22,"32,000.00"
Otsuka US PAC,20,"32,000.00"
American Rental Association PAC,16,"32,000.00"
SIMPAC,11,"32,000.00"
AAA Fund,9,"31,750.00"
CropLife America PAC ,22,"31,700.00"
Peabody Energy Corporation Political Action Committee,24,"31,500.00"
W. R. Berkley Corporation Political Action Committee,13,"31,500.00"
"Micron Technology, Inc. PAC",10,"31,500.00"
Select Medical Corporation PAC,8,"31,300.00"
FIS Good Government Fund,7,"31,300.00"
"Yum! Brands, Inc. Good Government Fund",27,"31,200.00"
Ballard Spahr LLP PAC,25,"31,000.00"
GAMA PAC,23,"31,000.00"
Barclays Group US Inc. Political Action Committee,23,"31,000.00"
"Land O'Lakes, Inc. PAC",17,"30,500.00"
Hogan Lovells PAC f/k/a Hogan & Hartson PAC,23,"30,000.00"
SLM Corporation PAC (Sallie Mae PAC),21,"30,000.00"
ARA PAC,24,"29,500.00"
"Dairy Farmers of America, Inc. Political Action Committee",17,"29,500.00"
American Forest & Paper Association PAC,17,"29,500.00"
"Greenberg Traurig, P.A. PAC",10,"29,325.00"
VISTA OUTDOOR INC. POLITICAL ACTION COMMITTEE,16,"29,036.40"
CSL Employees Political Action Committee,20,"29,000.00"
Texas Farm Bureau Friends of Agriculture Fund Inc. (AGFUND),13,"28,900.00"
NELNET PAC,10,"28,750.00"
Hill-Rom Holdings Inc. Political Action Committee,25,"28,500.00"
Elekta PAC,24,"28,500.00"
Pitney Bowes Inc. Political Action Committee,17,"28,500.00"
Live Oak Bank PAC,6,"28,500.00"
Beam Suntory Inc. Political Action Committee,11,"28,145.54"
Elekta Pac,24,"28,000.00"
Delta Air Lines PAC,2,"28,000.00"
Primerica Inc. Political Action Committee ,21,"27,500.00"
ALUMINUM ASSOCIATION POLITICAL ACTION COMMITTEE ALUMINUM PAC,21,"27,500.00"
Motion Picture Association Inc PAC (MPAAMERICA PAC),7,"27,500.00"
IFPTE LEAP-PAC,25,"27,400.00"
MillerCoors LLC PAC,14,"27,015.70"
Eaton Public Policy Committee,22,"27,000.00"
Kellogg Company Better Government Committee,15,"27,000.00"
American Investment Council Political Action Committee - AIC PAC,13,"27,000.00"
FLORIDA CITRUS MUTUAL PAC,8,"27,000.00"
Blank Rome PAC,24,"26,750.00"
Cruise Lines International Association PAC,11,"26,600.00"
Siemens Corporation PAC,27,"26,500.00"
Alcoa Corporation Employees Political Action Committee,24,"26,500.00"
Goodyear Good Government Fund,21,"26,500.00"
"American Water Works Company, Inc. Employee Federal PAC",18,"26,500.00"
The Gap Inc. Political Action Committee,13,"26,500.00"
PropanePAC,21,"26,020.00"
Service.1st.women,24,"26,000.00"
Mutual of Omaha Companies PAC IMPAC,18,"26,000.00"
The Timken Company Good Government Fund,14,"26,000.00"
BGR PAC,12,"25,815.69"
PODER PAC,36,"25,750.00"
"Aerojet Rocketdyne, Inc. PAC",25,"25,500.00"
American Wood Council WOODPAC,24,"25,500.00"
PROFESSIONAL COMPOUNDING CENTERS OF AMERICAN PAC,19,"25,500.00"
New York Life Insurance Company PAC,5,"25,500.00"
United Food & Commercial Workers Active Ballot Club,1,"25,263.20"
Sunovion Pharmaceuticals Inc. Good Governance Fund,16,"25,000.00"
Serco Inc Political Action Committee Serco PAC,11,"25,000.00"
UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE,1,"25,000.00"
